,key,pid,size,Cluster,brand,brand_code,category,color,color_code,mainCategory,releaseDate,rrp,rrp_range,size_normalization,size_range,stock,subCategory,total_sales,total_sales_range,total_sales_range2
0,10000XL ( 158-170 ),10000.0,XL ( 158-170 ),0,Nike,0.0,1.4285714285714284,gruen,3.75,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.0,5.365853658536587,1.0,0.0,0.0
1,10001L,10001.0,L,1,Jako,6.0,1.4285714285714284,schwarz,8.125,0.0,2017/10/1,38.03,2.5,L,4.4444444444444455,0.0,3.1707317073170733,4.0,0.0,0.0
2,100033 (35-38 ),10003.0,3 (35-38 ),2,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,M,3.333333333333333,0.0,2.4390243902439024,15.0,0.0,0.0
3,100034 ( 39-42 ),10003.0,4 ( 39-42 ),3,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,L,4.4444444444444455,0.0,2.4390243902439024,3.0,0.0,0.0
4,100035 ( 43-46 ),10003.0,5 ( 43-46 ),4,Jako,6.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,12.63,0.0,XL,5.5555555555555545,0.0,2.4390243902439024,11.0,0.0,0.0
5,10006XL,10006.0,XL,-1,Under Armour,0.8,6.2857142857142865,blau,1.875,10.0,2017/10/1,57.08,5.0,XL,5.5555555555555545,0.0,,1.0,0.0,0.0
6,10008XL,10008.0,XL,5,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.24017467248908295,1.2195121951219512,6.0,0.0,0.0
7,10013L,10013.0,L,6,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,L,4.4444444444444455,0.0,3.1707317073170733,1.0,0.0,0.0
8,10013M,10013.0,M,7,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,M,3.333333333333333,0.0,3.1707317073170733,4.0,0.0,0.0
9,10013S,10013.0,S,8,adidas,1.6,1.4285714285714284,schwarz,8.125,0.0,2017/10/27,69.78,5.0,S,2.2222222222222223,0.0,3.1707317073170733,1.0,0.0,0.0
10,10015L,10015.0,L,9,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,L,4.4444444444444455,0.08733624454148471,1.2195121951219512,2.0,0.0,0.0
11,10015S,10015.0,S,10,PUMA,1.2,1.4285714285714284,blau,1.875,0.0,2017/10/1,25.33,0.0,S,2.2222222222222223,0.0,1.2195121951219512,1.0,0.0,0.0
12,10017L,10017.0,L,-1,Under Armour,0.8,8.857142857142858,blau,1.875,10.0,2017/10/1,69.78,5.0,L,4.4444444444444455,0.0,,4.0,0.0,0.0
13,10020XL,10020.0,XL,11,Nike,0.0,2.2857142857142856,rot,7.5,5.7142857142857135,2017/10/1,50.73,5.0,XL,5.5555555555555545,0.0,2.6829268292682933,4.0,0.0,0.0
14,10025140,10025.0,140,-1,Uhlsport,2.0,1.4285714285714284,gruen,3.75,0.0,2017/10/1,50.73,5.0,140,3.333333333333333,0.0,6.829268292682928,1.0,0.0,0.0
15,10030M,10030.0,M,-1,New Balance,2.4,2.2857142857142856,gruen,3.75,5.7142857142857135,2017/10/1,107.88,7.5,M,3.333333333333333,0.0,7.804878048780488,1.0,0.0,0.0
16,1003143,10031.0,43,12,Converse,2.8000000000000003,4.571428571428571,blau,1.875,5.7142857142857135,2017/10/1,88.83,7.5,43,4.4444444444444455,0.021834061135371174,7.073170731707316,1.0,0.0,0.0
17,1003144,10031.0,44,12,Converse,2.8000000000000003,4.571428571428571,blau,1.875,5.7142857142857135,2017/10/1,88.83,7.5,44,4.4444444444444455,0.0,7.073170731707316,1.0,0.0,0.0
18,1003145,10031.0,45,-1,Converse,2.8000000000000003,4.571428571428571,blau,1.875,5.7142857142857135,2017/10/1,88.83,7.5,45,5.5555555555555545,0.04366812227074236,7.073170731707316,1.0,0.0,0.0
19,10035L ( 152-158 ),10035.0,L ( 152-158 ),13,Nike,0.0,1.4285714285714284,rot,7.5,0.0,2017/10/1,63.43,5.0,L,4.4444444444444455,0.0,4.634146341463415,9.0,0.0,0.0
20,10035XL ( 158-170 ),10035.0,XL ( 158-170 ),14,Nike,0.0,1.4285714285714284,rot,7.5,0.0,2017/10/1,63.43,5.0,XL,5.5555555555555545,0.04366812227074236,4.634146341463415,13.0,0.0,0.0
21,10035XS ( 116-128 ),10035.0,XS ( 116-128 ),-1,Nike,0.0,1.4285714285714284,rot,7.5,0.0,2017/10/1,63.43,5.0,XS,1.1111111111111112,0.0,4.634146341463415,4.0,0.0,0.0
22,1003946,10039.0,46,-1,Asics,3.6,4.571428571428571,schwarz,8.125,5.7142857142857135,2017/10/1,126.93,10.0,46,5.5555555555555545,0.0,7.073170731707316,1.0,0.0,0.0
23,"1004237,5",10042.0,"37,5",15,Nike,0.0,10.0,blau,1.875,0.0,2017/11/10,88.83,7.5,"37,5",2.2222222222222223,0.021834061135371174,0.7317073170731707,1.0,0.0,0.0
24,10043L,10043.0,L,-1,adidas,1.6,1.4285714285714284,weiss,10.0,0.0,2017/10/1,38.03,2.5,L,4.4444444444444455,0.0,1.2195121951219512,4.0,0.0,0.0
25,10043XL,10043.0,XL,-1,adidas,1.6,1.4285714285714284,weiss,10.0,0.0,2017/10/1,38.03,2.5,XL,5.5555555555555545,0.0,1.2195121951219512,2.0,0.0,0.0
26,10046L,10046.0,L,-1,Nike,0.0,1.4285714285714284,orange,5.625,0.0,2017/10/1,82.48,5.0,L,4.4444444444444455,0.08733624454148471,4.390243902439025,9.0,0.0,0.0
27,10046M,10046.0,M,16,Nike,0.0,1.4285714285714284,orange,5.625,0.0,2017/10/1,82.48,5.0,M,3.333333333333333,0.021834061135371174,4.390243902439025,10.0,0.0,0.0
28,10046S,10046.0,S,-1,Nike,0.0,1.4285714285714284,orange,5.625,0.0,2017/10/1,82.48,5.0,S,2.2222222222222223,0.0,4.390243902439025,7.0,0.0,0.0
29,1004842,10048.0,42,17,Mizuno,3.2,0.0,schwarz,8.125,0.0,2017/10/1,406.33,10.0,42,4.4444444444444455,0.0,0.0,2.0,0.0,0.0
30,10050M,10050.0,M,7,PUMA,1.2,1.4285714285714284,schwarz,8.125,0.0,2018/1/10,50.73,5.0,M,3.333333333333333,0.0,3.1707317073170733,1.0,0.0,0.0
31,10051M ( 140-152 ),10051.0,M ( 140-152 ),18,Nike,0.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,25.33,0.0,M,3.333333333333333,0.0,4.390243902439025,1.0,0.0,0.0
32,10051XL ( 158-170 ),10051.0,XL ( 158-170 ),19,Nike,0.0,1.4285714285714284,weiss,10.0,0.0,2017/10/1,25.33,0.0,XL,5.5555555555555545,0.021834061135371174,4.390243902439025,5.0,0.0,0.0
33,10057176,10057.0,176,20,PUMA,1.2,1.4285714285714284,rot,7.5,0.0,2017/10/1,22.22,0.0,176,4.4444444444444455,0.0,5.365853658536587,1.0,0.0,0.0
34,10061L,10061.0,L,-1,adidas,1.6,2.2857142857142856,schwarz,8.125,5.7142857142857135,2017/10/1,63.43,5.0,L,4.4444444444444455,0.0,7.804878048780488,8.0,0.0,0.0
